id,Title,url,Product סגנון היצירה,Product טכניקה,Product מצע,Length,Width,Height,filename
1555,MIGDAL SHALOM IN YELLOW,https://under1000.co.il/wp-content/uploads/2020/06/CamScanner-06-15-2020-13.20.02_1.jpg,,ספריי|צבעי אקריליק,,2.0,20.0,40.0,1555.jpg
1583,היפה עד מאוד,https://under1000.co.il/wp-content/uploads/2020/06/image0.jpeg,פופ ארט,טושים|צבעי אקריליק,קנבס,60.0,4.0,90.0,1583.jpg
1588,BLUE BUILDING ALEF,https://under1000.co.il/wp-content/uploads/2020/06/CamScanner-06-15-2020-13.21.30_1.jpg,,ספריי|צבעי אקריליק,,2.0,25.0,50.0,1588.jpg
1589,PINK HOUSE ALEF,https://under1000.co.il/wp-content/uploads/2020/06/CamScanner-06-15-2020-13.18.24_1.jpg,,ספריי|צבעי אקריליק,,2.0,30.0,20.0,1589.jpg
1590,PASTEL GREEN TLV,https://under1000.co.il/wp-content/uploads/2020/06/CamScanner-06-15-2020-13.22.22_1-scaled.jpg,,ספריי|צבעי אקריליק,,1.0,25.0,37.0,1590.jpg
1591,HABIMA BLACK AND WHITE,https://under1000.co.il/wp-content/uploads/2020/06/CamScanner-06-15-2020-13.17.36_1.jpg,,ספריי|צבעי אקריליק,,2.0,20.0,20.0,1591.jpg
1657,ברוש 3 מעוינים כחול 2/4,https://under1000.co.il/wp-content/uploads/2020/06/ברוש-3-מעויינים-כחול-2-מתוך-4--scaled.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,110.0,80.0,4.0,1657.jpg
1659,ברש מאורך כחול 4/7,https://under1000.co.il/wp-content/uploads/2020/06/ברוש-מאורך-כחול-68-19-4-מתוך-7-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,100.0,35.0,4.0,1659.jpg
1663,ברוש מסולסל אימפרסיוניסטי 1/5,https://under1000.co.il/wp-content/uploads/2020/06/ברוש-מסולסל-אימפרסיוניטי-36-19-1-מתוך-5-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,25.0,30.0,1663.jpg
1679,ברוש תחרה אוקר 2/5,https://under1000.co.il/wp-content/uploads/2020/06/ברוש-תחרה-אוקר-2-מתוך-5-.jpg,פיגורטיבי,הדפס,נייר,4.0,75.0,105.0,1679.jpg
1681,סגול,,,צבעי שמן,קנבס,,25.0,25.0,
1683,"ברוש תחרה אוקר/שחור, ימין, 3/4",https://under1000.co.il/wp-content/uploads/2020/06/ברוש-תחרה-ימין-אוקר-שחור-61-19-3-מתוך-4-.jpg,פיגורטיבי,הדפס,נייר,4.0,75.0,105.0,1683.jpg
1685,"ברוש תחרה אוקר/שחור, שמאל, 3/4",https://under1000.co.il/wp-content/uploads/2020/06/ברוש-תחרה-שמאל-אוקר-שחור-62-19-3-מתוך-4.jpg,פיגורטיבי,הדפס,נייר,4.0,75.0,105.0,1685.jpg
1687,ברוש תחרה שחור לבן 4/5,https://under1000.co.il/wp-content/uploads/2020/06/ברוש-תחרה-שחור-ימין-42-19-4-מתוך-5-.jpg,פיגורטיבי,הדפס,נייר,4.0,75.0,105.0,1687.jpg
1689,"ברוש תחרה שחור/לבן, שמאל, 2/5",https://under1000.co.il/wp-content/uploads/2020/06/ברוש-תחרה-שחור-שמאל-38-19-2-מתוך-5-.jpg,פיגורטיבי,הדפס,נייר,4.0,75.0,105.0,1689.jpg
1693,שושן צבעוני 1/1,https://under1000.co.il/wp-content/uploads/2020/06/חרוז-שושן-וציור-67-19-1-מתוך-1-.jpg,פיגורטיבי,הדפס,נייר,4.0,25.0,25.0,1693.jpg
1696,קוביזם,https://under1000.co.il/wp-content/uploads/2020/06/382-100x90--scaled.jpg,מופשט,,,4.0,100.0,90.0,1696.jpg
1698,סילסולים צבעוניים,https://under1000.co.il/wp-content/uploads/2020/06/5-600-40x40-1-scaled.jpg,מודרני|מופשט,צבעי אקריליק,קנבס,3.5,40.0,40.0,1698.jpg
1703,פרידה קאלו - הדפס ממוסגר,https://under1000.co.il/wp-content/uploads/2020/06/5187353A-5B94-4180-8003-364F50415F43.jpeg,דיוקנאות,הדפס,נייר,3.5,30.0,40.0,1703.jpg
1717,לב סירה קוצנית בורדו 7/12,https://under1000.co.il/wp-content/uploads/2020/06/לב-סירה-קוצנית-בורדו-7-מתוך-12-.jpg,פיגורטיבי,הדפס,נייר,4.0,70.0,70.0,1717.jpg
1721,"לב סירה קוצנית לבן, רשת אפור 2/7",https://under1000.co.il/wp-content/uploads/2020/06/לב-סירה-קוצנית-לבן-רשת-אפור-56-19-2-מתןך-7-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,70.0,70.0,1721.jpg
1723,"לב סירה קוצנית לבן, רשת אפור 3/7",https://under1000.co.il/wp-content/uploads/2020/06/לב-סירה-קוצנית-לבן-רשת-אפור-2-20-3-מתןך-7-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,70.0,70.0,1723.jpg
1727,"לב סירה קוצנית שחור, רקע אוקר 4/5",https://under1000.co.il/wp-content/uploads/2020/06/לב-סירה-קוצנית-רשת-אוקר-4-מתוך-5-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,70.0,70.0,1727.jpg
